dataset,model,accuracy,precision,recall,f1,roc_auc
OhioT1DM,AgHealth+,0.9207789752316128,0.9503205128205128,0.8893888263967004,0.9188456323842727,0.9711669336527442
OhioT1DM,Predictive-only (B2),0.8591416146719607,0.871616395978345,0.8451443569553806,0.8581762802208261,0.9267284095208923
OhioT1DM,Human-schedule (B3),0.8553601815087918,0.9276079136690647,0.7735283089613798,0.8435902678388878,0.8960564712019693
OhioT1DM,Rules-only (B1),0.8018529022499528,0.8732134624250807,0.7101612298462692,0.7832919768403639,0.8409493006738001
WESAD,AgHealth+,0.8518518518518519,1.0,0.3333333333333333,0.5,0.9434558136980282
WESAD,Predictive-only (B2),0.8431372549019608,0.8409090909090909,0.3627450980392157,0.5068493150684932,0.9331026528258362
WESAD,Human-schedule (B3),0.7952069716775599,0.5606060606060606,0.3627450980392157,0.44047619047619047,0.8327566320645905
WESAD,Rules-only (B1),0.8518518518518519,0.6976744186046512,0.5882352941176471,0.6382978723404256,0.8258911407700336
PPG-DaLiA,Predictive-only (B2),0.8178343949044586,0.22377622377622378,0.5,0.30917874396135264,0.8323834084604717
PPG-DaLiA,AgHealth+,0.7312101910828025,0.21176470588235294,0.84375,0.3385579937304075,0.8317441054091539
PPG-DaLiA,Human-schedule (B3),0.8433121019108281,0.21359223300970873,0.34375,0.2634730538922156,0.8213202149791956
PPG-DaLiA,Rules-only (B1),0.7375796178343949,0.21825396825396826,0.859375,0.34810126582278483,0.7763414528432732
